symbol,initial_balance,final_balance,profit,return_rate,close_profit,commission,total_klines,cross_up,cross_down,long_signals,short_signals,close_long,close_short
KQ.m@DCE.pg,762304.0,761884.0,-420.0,-0.055096129628074884,1680.0,2100.0,2046,174,208,162,196,94,81
KQ.m@DCE.jd,750902.2320000118,742289.1870000121,-8613.044999999693,-1.1470261550640266,-6660.0,1413.0449999999998,2745,231,254,212,241,110,110
KQ.m@DCE.lh,735667.840000022,721691.7760000217,-13976.064000000246,-1.8997791177061414,-9600.0,1496.064,2745,232,261,224,232,109,116
KQ.m@CZCE.SR,773164.0,776020.0,2856.0,0.36939122876905806,4200.0,924.0,4137,357,426,341,407,153,174
KQ.m@CZCE.CF,10000000.0,10000000.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
KQ.m@CZCE.TA,10000000.0,10000000.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
KQ.m@CZCE.MA,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
KQ.m@CZCE.FG,393587.99999999994,387315.99999999994,-6272.0,-1.5935445186336983,-5120.0,1152.0,4137,341,398,329,382,163,151
KQ.m@CZCE.RM,660378.0,660414.0,36.0,0.005451423275760247,720.0,684.0,4137,339,444,323,425,156,171
KQ.m@CZCE.OI,954080.0,945648.0,-8432.0,-0.8837833305383196,-8240.0,192.0,4137,335,415,318,400,152,190
KQ.m@CZCE.SM,727804.0,727424.0,-380.0,-0.0522118592368275,190.0,570.0,2745,232,289,215,275,110,122
KQ.m@CZCE.SF,795460.9999999999,772441.9999999999,-23019.0,-2.8937936617885733,-20810.0,1329.0,2745,228,265,206,246,109,113
KQ.m@CZCE.UR,665380.0,660725.0,-4655.0,-0.6996002284408909,-2940.0,1115.0,2745,224,283,211,277,104,130
KQ.m@CZCE.SA,498428.0000000001,488705.0000000001,-9723.0,-1.9507331048817478,-8400.0,1323.0,4137,364,446,352,434,162,190
KQ.m@CZCE.PK,846782.0,839932.0,-6850.0,-0.8089449232506124,-6010.0,840.0,2745,230,254,210,235,107,101
KQ.m@CZCE.AP,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
KQ.m@CZCE.CJ,774075.0,771651.0,-2424.0,-0.31314795077996316,-1800.0,324.0,2745,235,263,227,248,105,124
KQ.m@INE.sc,856239.9999999864,860719.9999999858,4479.999999999418,0.5232177894047801,5399.999999999295,520.0,6573,555,635,481,589,251,277
KQ.m@INE.lu,778864.1946000031,766008.5486000027,-12855.646000000415,-1.6505632290110108,-10660.0,95.64600000000002,4137,341,434,292,404,162,196
KQ.m@CFFEX.IF,879795.2953000135,914286.7546000136,34491.459300000104,3.920395969864602,34980.000000000386,488.5407000000002,2928,248,298,225,275,122,126
KQ.m@CFFEX.IC,730326.0655999574,764503.1075199572,34177.04191999987,4.679696306871327,34440.000000000146,262.95808,2928,238,294,213,270,109,121
KQ.m@CFFEX.IH,903692.6922400199,888111.8536000203,-15580.838639999623,-1.7241302019803617,-15359.999999999536,220.83863999999994,2928,265,313,251,287,135,125
KQ.m@CFFEX.IM,872273.0990399604,865248.8658399604,-7024.233200000017,-0.8052791273433761,-6079.999999999745,264.2332,2928,248,294,231,277,109,127
KQ.m@CFFEX.T,806790.0000001004,804123.0000001022,-2666.9999999981374,-0.3305692931243329,-2099.9999999985166,117.0,3111,261,307,244,292,111,133
KQ.m@CFFEX.TF,868398.0000000668,867502.0000000674,-895.9999999994179,-0.1031784964957714,-799.9999999995566,96.0,3111,236,312,216,307,92,128
KQ.m@CFFEX.TS,915050.0000001878,914634.0000001908,-415.9999999969732,-0.045461996611866874,-239.99999999716692,96.0,3111,279,310,262,297,109,133
